test_data_id,node_count,computation_capacity,function_count,resource_demands,data_sizes,bandwidth_matrix,gpu_cost,memory_cost,bandwidth_cost,profit_per_user
54,9,"[[184,1104],[133,665],[511,1533],[59,295],[484,1452],[392,784],[244,1952],[436,1308],[343,1029]]",7,"[[10.4, 108], [12.5, 240], [15.0, 258], [18.0, 216], [21.6, 426], [25.9, 489], [31.1, 450]]","[80, 48, 41, 35, 98, 79]","[[0, 500, 50, 0, 100, 50, 200, 0, 1000], [500, 0, 200, 200, 50, 0, 0, 200, 0], [50, 200, 0, 1000, 1000, 0, 0, 500, 100], [0, 200, 1000, 0, 200, 0, 200, 200, 0], [100, 50, 1000, 200, 0, 500, 1000, 1000, 100], [50, 0, 0, 0, 500, 0, 1000, 200, 500], [200, 0, 0, 200, 1000, 1000, 0, 500, 0], [0, 200, 500, 200, 1000, 200, 500, 0, 1000], [1000, 0, 100, 0, 100, 500, 0, 1000, 0]]",0.33,0.09,0.04,321
55,14,"[[67,402],[330,990],[76,380],[455,1365],[117,585],[84,504],[374,1122],[469,1407],[201,1608],[295,590],[105,525],[530,1060],[258,516],[92,276]]",5,"[[7.2, 137], [8.7, 172], [10.4, 192], [12.5, 194], [15.0, 274]]","[64, 75, 62, 100]","[[0, 200, 100, 0, 500, 0, 0, 50, 1000, 0, 100, 100, 100, 500], [200, 0, 1000, 200, 500, 500, 100, 1000, 100, 200, 0, 100, 50, 0], [100, 1000, 0, 500, 0, 50, 50, 0, 0, 0, 100, 500, 200, 0], [0, 200, 500, 0, 500, 0, 200, 500, 1000, 0, 100, 0, 50, 100], [500, 500, 0, 500, 0, 500, 0, 50, 0, 1000, 50, 0, 200, 500], [0, 500, 50, 0, 500, 0, 1000, 1000, 0, 1000, 0, 50, 100, 0], [0, 100, 50, 200, 0, 1000, 0, 1000, 500, 500, 0, 0, 50, 50], [50, 1000, 0, 500, 50, 1000, 1000, 0, 200, 0, 500, 0, 100, 0], [1000, 100, 0, 1000, 0, 0, 500, 200, 0, 500, 1000, 500, 50, 100], [0, 200, 0, 0, 1000, 1000, 500, 0, 500, 0, 500, 50, 0, 0], [100, 0, 100, 100, 50, 0, 0, 500, 1000, 500, 0, 500, 0, 1000], [100, 100, 500, 0, 0, 50, 0, 0, 500, 50, 500, 0, 1000, 0], [100, 50, 200, 50, 200, 100, 50, 100, 50, 0, 0, 1000, 0, 200], [500, 0, 0, 100, 500, 0, 50, 0, 100, 0, 1000, 0, 200, 0]]",0.142,0.14,0.04,268
56,7,"[[520,1040],[560,1120],[523,1046],[80,240],[76,380],[70,350],[235,1880]]",4,"[[6.0, 108], [7.2, 124], [8.6, 148], [10.3, 136]]","[81, 67, 44]","[[0, 500, 100, 500, 0, 100, 500], [500, 0, 1000, 500, 200, 0, 0], [100, 1000, 0, 500, 500, 200, 1000], [500, 500, 500, 0, 1000, 500, 500], [0, 200, 500, 1000, 0, 500, 50], [100, 0, 200, 500, 500, 0, 1000], [500, 0, 1000, 500, 50, 1000, 0]]",0.327,0.08,0.06,421
57,7,"[[543,1629],[84,336],[181,1448],[105,735],[175,1400],[69,207],[572,1144]]",4,"[[13.7, 156], [16.4, 200], [19.7, 394], [23.7, 375]]","[35, 64, 24]","[[0, 200, 0, 100, 1000, 200, 1000], [200, 0, 200, 100, 1000, 500, 50], [0, 200, 0, 500, 200, 50, 100], [100, 100, 500, 0, 1000, 50, 1000], [1000, 1000, 200, 1000, 0, 500, 500], [200, 500, 50, 50, 500, 0, 500], [1000, 50, 100, 1000, 500, 500, 0]]",0.479,0.12,0.02,390
58,5,"[[230,1840],[168,1176],[240,1680],[67,268],[560,1120]]",4,"[[6.1, 79], [7.4, 146], [8.8, 136], [10.6, 180]]","[55, 24, 68]","[[0, 500, 0, 500, 1000], [500, 0, 500, 50, 100], [0, 500, 0, 200, 100], [500, 50, 200, 0, 1000], [1000, 100, 100, 1000, 0]]",0.132,0.11,0.03,284
59,9,"[[324,972],[142,710],[237,1185],[485,970],[477,1431],[69,276],[254,508],[149,745],[123,615]]",7,"[[14.3, 198], [17.2, 293], [20.7, 277], [24.8, 275], [29.7, 301], [35.7, 695], [42.8, 631]]","[61, 26, 59, 23, 90, 68]","[[0, 1000, 200, 500, 0, 1000, 100, 500, 200], [1000, 0, 500, 100, 100, 0, 100, 0, 200], [200, 500, 0, 500, 0, 0, 0, 1000, 50], [500, 100, 500, 0, 200, 1000, 200, 50, 0], [0, 100, 0, 200, 0, 500, 0, 0, 50], [1000, 0, 0, 1000, 500, 0, 200, 0, 100], [100, 100, 0, 200, 0, 200, 0, 200, 200], [500, 0, 1000, 50, 0, 0, 200, 0, 500], [200, 200, 50, 0, 50, 100, 200, 500, 0]]",0.345,0.15,0.03,214
60,13,"[[167,1169],[80,320],[563,1126],[90,270],[500,1000],[52,312],[332,664],[84,252],[85,425],[235,1175],[244,1952],[95,475],[357,1071]]",4,"[[13.0, 231], [15.6, 294], [18.7, 369], [22.5, 235]]","[21, 36, 51]","[[0, 500, 0, 0, 0, 0, 200, 50, 0, 0, 0, 500, 500], [500, 0, 200, 100, 200, 50, 50, 0, 0, 1000, 0, 1000, 200], [0, 200, 0, 200, 50, 50, 50, 1000, 0, 200, 200, 100, 0], [0, 100, 200, 0, 1000, 0, 100, 50, 200, 0, 0, 50, 200], [0, 200, 50, 1000, 0, 500, 50, 500, 0, 1000, 500, 500, 0], [0, 50, 50, 0, 500, 0, 200, 200, 0, 50, 50, 500, 0], [200, 50, 50, 100, 50, 200, 0, 1000, 1000, 1000, 0, 100, 500], [50, 0, 1000, 50, 500, 200, 1000, 0, 1000, 1000, 0, 100, 500], [0, 0, 0, 200, 0, 0, 1000, 1000, 0, 500, 1000, 1000, 0], [0, 1000, 200, 0, 1000, 50, 1000, 1000, 500, 0, 200, 200, 0], [0, 0, 200, 0, 500, 50, 0, 0, 1000, 200, 0, 1000, 100], [500, 1000, 100, 50, 500, 500, 100, 100, 1000, 200, 1000, 0, 500], [500, 200, 0, 200, 0, 0, 500, 500, 0, 0, 100, 500, 0]]",0.113,0.11,0.03,407
61,5,"[[222,1776],[235,1880],[197,1379],[53,265],[62,248]]",4,"[[10.0, 106], [12.0, 166], [14.5, 180], [17.4, 210]]","[26, 85, 45]","[[0, 500, 0, 50, 1000], [500, 0, 500, 100, 200], [0, 500, 0, 200, 500], [50, 100, 200, 0, 200], [1000, 200, 500, 200, 0]]",0.496,0.12,0.07,367
62,7,"[[176,1408],[295,590],[178,890],[153,1224],[339,678],[446,1338],[69,276]]",6,"[[11.3, 208], [13.5, 212], [16.2, 193], [19.4, 347], [23.3, 253], [28.0, 405]]","[41, 31, 83, 26, 83]","[[0, 1000, 100, 1000, 200, 200, 500], [1000, 0, 500, 1000, 500, 0, 1000], [100, 500, 0, 1000, 50, 100, 1000], [1000, 1000, 1000, 0, 1000, 500, 0], [200, 500, 50, 1000, 0, 1000, 1000], [200, 0, 100, 500, 1000, 0, 1000], [500, 1000, 1000, 0, 1000, 1000, 0]]",0.293,0.13,0.05,491
63,13,"[[101,606],[58,174],[109,763],[159,1272],[74,296],[51,306],[144,864],[515,1545],[453,1359],[381,1143],[543,1086],[405,810],[53,159]]",4,"[[13.7, 146], [16.4, 221], [19.7, 350], [23.6, 351]]","[51, 51, 84]","[[0, 500, 1000, 1000, 0, 0, 200, 0, 500, 0, 200, 100, 1000], [500, 0, 1000, 50, 0, 0, 0, 50, 500, 0, 500, 200, 0], [1000, 1000, 0, 1000, 0, 50, 500, 1000, 200, 500, 500, 500, 50], [1000, 50, 1000, 0, 500, 500, 500, 0, 200, 200, 500, 1000, 100], [0, 0, 0, 500, 0, 1000, 100, 1000, 100, 200, 1000, 0, 0], [0, 0, 50, 500, 1000, 0, 200, 1000, 500, 50, 0, 0, 100], [200, 0, 500, 500, 100, 200, 0, 1000, 0, 200, 0, 50, 0], [0, 50, 1000, 0, 1000, 1000, 1000, 0, 1000, 0, 0, 500, 100], [500, 500, 200, 200, 100, 500, 0, 1000, 0, 1000, 0, 0, 100], [0, 0, 500, 200, 200, 50, 200, 0, 1000, 0, 1000, 0, 1000], [200, 500, 500, 500, 1000, 0, 0, 0, 0, 1000, 0, 500, 50], [100, 200, 500, 1000, 0, 0, 50, 500, 0, 0, 500, 0, 500], [1000, 0, 50, 100, 0, 100, 0, 100, 100, 1000, 50, 500, 0]]",0.516,0.09,0.02,360
64,6,"[[398,796],[100,700],[388,1164],[322,966],[413,1239],[153,1071]]",4,"[[10.6, 135], [12.7, 221], [15.2, 167], [18.2, 247]]","[99, 26, 58]","[[0, 500, 1000, 200, 0, 200], [500, 0, 1000, 200, 50, 100], [1000, 1000, 0, 200, 1000, 50], [200, 200, 200, 0, 500, 100], [0, 50, 1000, 500, 0, 500], [200, 100, 50, 100, 500, 0]]",0.416,0.1,0.03,206
65,15,"[[95,380],[73,365],[177,1416],[57,228],[65,260],[52,260],[80,320],[116,928],[100,400],[248,1984],[346,1038],[172,1032],[541,1082],[194,1358],[87,348]]",5,"[[9.0, 113], [10.9, 195], [13.0, 201], [15.6, 219], [18.8, 243]]","[34, 63, 75, 44]","[[0, 500, 50, 500, 0, 0, 50, 0, 100, 100, 0, 50, 50, 200, 1000], [500, 0, 200, 100, 0, 0, 50, 1000, 50, 500, 500, 500, 1000, 500, 1000], [50, 200, 0, 1000, 200, 100, 500, 500, 200, 500, 100, 0, 0, 50, 0], [500, 100, 1000, 0, 200, 0, 50, 0, 100, 0, 500, 500, 500, 50, 50], [0, 0, 200, 200, 0, 1000, 0, 100, 0, 0, 0, 500, 500, 200, 500], [0, 0, 100, 0, 1000, 0, 1000, 0, 1000, 50, 200, 500, 1000, 50, 1000], [50, 50, 500, 50, 0, 1000, 0, 1000, 1000, 1000, 50, 50, 50, 0, 0], [0, 1000, 500, 0, 100, 0, 1000, 0, 200, 1000, 0, 0, 0, 0, 500], [100, 50, 200, 100, 0, 1000, 1000, 200, 0, 500, 50, 1000, 200, 0, 500], [100, 500, 500, 0, 0, 50, 1000, 1000, 500, 0, 1000, 100, 1000, 100, 200], [0, 500, 100, 500, 0, 200, 50, 0, 50, 1000, 0, 1000, 100, 500, 100], [50, 500, 0, 500, 500, 500, 50, 0, 1000, 100, 1000, 0, 200, 0, 0], [50, 1000, 0, 500, 500, 1000, 50, 0, 200, 1000, 100, 200, 0, 500, 100], [200, 500, 50, 50, 200, 50, 0, 0, 0, 100, 500, 0, 500, 0, 1000], [1000, 1000, 0, 50, 500, 1000, 0, 500, 500, 200, 100, 0, 100, 1000, 0]]",0.414,0.13,0.01,430
66,7,"[[56,224],[141,705],[78,234],[548,1096],[567,1134],[61,244],[96,384]]",5,"[[12.9, 158], [15.5, 293], [18.6, 324], [22.3, 302], [26.8, 458]]","[35, 79, 90, 37]","[[0, 200, 50, 100, 500, 50, 1000], [200, 0, 1000, 50, 0, 0, 100], [50, 1000, 0, 200, 200, 50, 50], [100, 50, 200, 0, 1000, 50, 0], [500, 0, 200, 1000, 0, 200, 100], [50, 0, 50, 50, 200, 0, 1000], [1000, 100, 50, 0, 100, 1000, 0]]",0.575,0.09,0.02,338
67,8,"[[140,1120],[494,1482],[248,1488],[572,1716],[179,1253],[434,1302],[364,728],[376,1128]]",7,"[[6.1, 93], [7.3, 88], [8.8, 90], [10.6, 173], [12.7, 213], [15.2, 281], [18.2, 281]]","[83, 85, 73, 33, 43, 77]","[[0, 200, 0, 0, 200, 200, 100, 500], [200, 0, 500, 0, 1000, 500, 0, 0], [0, 500, 0, 1000, 0, 0, 1000, 200], [0, 0, 1000, 0, 500, 0, 100, 0], [200, 1000, 0, 500, 0, 200, 0, 0], [200, 500, 0, 0, 200, 0, 500, 200], [100, 0, 1000, 100, 0, 500, 0, 1000], [500, 0, 200, 0, 0, 200, 1000, 0]]",0.417,0.1,0.05,405
68,10,"[[52,260],[62,372],[140,840],[108,864],[239,1195],[176,880],[55,165],[74,444],[76,304],[540,1620]]",4,"[[6.6, 113], [8.0, 110], [9.5, 160], [11.4, 152]]","[86, 38, 23]","[[0, 1000, 0, 0, 50, 1000, 100, 100, 0, 200], [1000, 0, 500, 500, 1000, 500, 100, 50, 0, 100], [0, 500, 0, 500, 1000, 50, 0, 50, 0, 500], [0, 500, 500, 0, 200, 50, 500, 100, 0, 500], [50, 1000, 1000, 200, 0, 1000, 0, 0, 500, 500], [1000, 500, 50, 50, 1000, 0, 200, 0, 0, 0], [100, 100, 0, 500, 0, 200, 0, 200, 100, 0], [100, 50, 50, 100, 0, 0, 200, 0, 200, 0], [0, 0, 0, 0, 500, 0, 100, 200, 0, 200], [200, 100, 500, 500, 500, 0, 0, 0, 200, 0]]",0.433,0.1,0.02,370
69,7,"[[206,1030],[219,1095],[52,208],[371,742],[484,968],[214,1712],[89,534]]",5,"[[9.4, 154], [11.3, 134], [13.5, 225], [16.3, 291], [19.5, 364]]","[56, 58, 55, 52]","[[0, 500, 200, 50, 50, 500, 1000], [500, 0, 1000, 0, 500, 500, 1000], [200, 1000, 0, 1000, 200, 200, 0], [50, 0, 1000, 0, 200, 100, 0], [50, 500, 200, 200, 0, 1000, 1000], [500, 500, 200, 100, 1000, 0, 1000], [1000, 1000, 0, 0, 1000, 1000, 0]]",0.253,0.09,0.08,358
70,8,"[[247,1729],[443,886],[164,1148],[96,384],[174,1218],[387,1161],[538,1076],[117,702]]",7,"[[5.6, 78], [6.8, 101], [8.1, 94], [9.8, 106], [11.7, 215], [14.0, 186], [16.9, 218]]","[27, 46, 93, 70, 83, 94]","[[0, 1000, 0, 100, 500, 0, 50, 200], [1000, 0, 500, 0, 1000, 500, 1000, 100], [0, 500, 0, 200, 0, 100, 200, 0], [100, 0, 200, 0, 200, 0, 500, 500], [500, 1000, 0, 200, 0, 1000, 500, 0], [0, 500, 100, 0, 1000, 0, 500, 50], [50, 1000, 200, 500, 500, 500, 0, 500], [200, 100, 0, 500, 0, 50, 500, 0]]",0.483,0.14,0.04,435
71,5,"[[182,1092],[92,552],[83,332],[149,745],[101,808]]",4,"[[8.1, 120], [9.7, 189], [11.6, 122], [13.9, 255]]","[43, 74, 43]","[[0, 200, 50, 1000, 1000], [200, 0, 500, 0, 200], [50, 500, 0, 1000, 100], [1000, 0, 1000, 0, 500], [1000, 200, 100, 500, 0]]",0.45,0.09,0.06,477
72,9,"[[118,708],[580,1740],[266,532],[82,492],[78,234],[148,888],[332,664],[446,1338],[200,1200]]",6,"[[11.2, 184], [13.5, 239], [16.2, 286], [19.4, 196], [23.3, 326], [28.0, 311]]","[58, 43, 78, 94, 67]","[[0, 1000, 500, 0, 200, 0, 0, 0, 200], [1000, 0, 200, 100, 0, 200, 200, 200, 500], [500, 200, 0, 500, 0, 0, 1000, 0, 500], [0, 100, 500, 0, 500, 50, 50, 500, 500], [200, 0, 0, 500, 0, 200, 100, 1000, 0], [0, 200, 0, 50, 200, 0, 1000, 100, 0], [0, 200, 1000, 50, 100, 1000, 0, 200, 1000], [0, 200, 0, 500, 1000, 100, 200, 0, 1000], [200, 500, 500, 500, 0, 0, 1000, 1000, 0]]",0.443,0.08,0.04,394
73,7,"[[255,510],[340,680],[471,942],[73,365],[503,1509],[87,261],[209,1254]]",6,"[[9.3, 149], [11.1, 153], [13.3, 228], [16.0, 302], [19.2, 223], [23.0, 333]]","[77, 76, 58, 65, 47]","[[0, 200, 100, 0, 100, 100, 200], [200, 0, 500, 1000, 1000, 50, 200], [100, 500, 0, 200, 0, 50, 1000], [0, 1000, 200, 0, 1000, 500, 0], [100, 1000, 0, 1000, 0, 500, 500], [100, 50, 50, 500, 500, 0, 500], [200, 200, 1000, 0, 500, 500, 0]]",0.393,0.05,0.07,228
74,9,"[[61,305],[201,1005],[89,267],[52,312],[65,195],[600,1200],[170,1190],[92,460],[447,894]]",7,"[[10.4, 126], [12.5, 242], [15.0, 285], [18.0, 222], [21.6, 346], [25.9, 381], [31.1, 400]]","[41, 76, 59, 27, 24, 40]","[[0, 200, 1000, 0, 0, 50, 0, 0, 200], [200, 0, 1000, 0, 1000, 0, 200, 200, 500], [1000, 1000, 0, 200, 0, 50, 0, 0, 1000], [0, 0, 200, 0, 500, 0, 50, 0, 200], [0, 1000, 0, 500, 0, 500, 500, 50, 1000], [50, 0, 50, 0, 500, 0, 200, 50, 200], [0, 200, 0, 50, 500, 200, 0, 500, 100], [0, 200, 0, 0, 50, 50, 500, 0, 500], [200, 500, 1000, 200, 1000, 200, 100, 500, 0]]",0.135,0.07,0.02,296
75,12,"[[56,336],[97,291],[517,1551],[386,1158],[282,564],[298,894],[80,400],[68,408],[272,544],[506,1518],[458,1374],[233,1398]]",4,"[[12.2, 162], [14.6, 225], [17.6, 205], [21.1, 320]]","[35, 87, 54]","[[0, 200, 500, 200, 0, 0, 0, 200, 100, 200, 0, 1000], [200, 0, 1000, 1000, 1000, 0, 1000, 0, 500, 500, 200, 50], [500, 1000, 0, 500, 100, 1000, 0, 1000, 1000, 200, 100, 100], [200, 1000, 500, 0, 200, 500, 1000, 0, 0, 50, 0, 1000], [0, 1000, 100, 200, 0, 1000, 500, 0, 0, 0, 0, 1000], [0, 0, 1000, 500, 1000, 0, 200, 0, 1000, 0, 0, 100], [0, 1000, 0, 1000, 500, 200, 0, 200, 50, 0, 0, 100], [200, 0, 1000, 0, 0, 0, 200, 0, 1000, 50, 0, 0], [100, 500, 1000, 0, 0, 1000, 50, 1000, 0, 200, 0, 0], [200, 500, 200, 50, 0, 0, 0, 50, 200, 0, 1000, 0], [0, 200, 100, 0, 0, 0, 0, 0, 0, 1000, 0, 500], [1000, 50, 100, 1000, 1000, 100, 100, 0, 0, 0, 500, 0]]",0.286,0.08,0.03,302
76,6,"[[599,1797],[303,909],[73,219],[190,1140],[390,780],[314,942]]",4,"[[8.4, 97], [10.1, 164], [12.2, 231], [14.6, 215]]","[75, 29, 85]","[[0, 500, 50, 1000, 500, 200], [500, 0, 200, 200, 100, 500], [50, 200, 0, 200, 500, 200], [1000, 200, 200, 0, 1000, 0], [500, 100, 500, 1000, 0, 500], [200, 500, 200, 0, 500, 0]]",0.527,0.1,0.04,247
77,9,"[[477,954],[354,708],[247,1235],[100,800],[575,1725],[73,292],[81,486],[229,1145],[106,636]]",7,"[[12.4, 128], [14.9, 235], [17.8, 313], [21.4, 413], [25.7, 296], [30.8, 311], [37.0, 635]]","[90, 30, 83, 65, 54, 23]","[[0, 200, 50, 0, 0, 200, 0, 500, 1000], [200, 0, 500, 0, 1000, 200, 200, 200, 0], [50, 500, 0, 200, 0, 500, 50, 500, 1000], [0, 0, 200, 0, 1000, 100, 0, 200, 100], [0, 1000, 0, 1000, 0, 1000, 200, 0, 100], [200, 200, 500, 100, 1000, 0, 1000, 0, 1000], [0, 200, 50, 0, 200, 1000, 0, 500, 0], [500, 200, 500, 200, 0, 0, 500, 0, 200], [1000, 0, 1000, 100, 100, 1000, 0, 200, 0]]",0.59,0.12,0.04,422
78,15,"[[91,455],[218,1090],[232,1160],[54,216],[234,1872],[504,1008],[135,810],[96,576],[112,560],[130,780],[507,1521],[98,588],[170,1360],[79,395],[181,1267]]",6,"[[10.5, 194], [12.6, 162], [15.2, 193], [18.2, 337], [21.9, 239], [26.2, 420]]","[39, 51, 26, 29, 72]","[[0, 500, 0, 200, 1000, 50, 50, 50, 100, 1000, 0, 500, 500, 0, 200], [500, 0, 500, 0, 1000, 0, 200, 0, 1000, 0, 200, 0, 0, 0, 50], [0, 500, 0, 500, 500, 0, 0, 1000, 1000, 500, 1000, 1000, 0, 0, 200], [200, 0, 500, 0, 1000, 0, 200, 50, 200, 500, 500, 0, 0, 0, 50], [1000, 1000, 500, 1000, 0, 1000, 0, 200, 0, 50, 0, 100, 200, 1000, 0], [50, 0, 0, 0, 1000, 0, 500, 50, 200, 50, 50, 0, 0, 100, 200], [50, 200, 0, 200, 0, 500, 0, 1000, 0, 1000, 50, 50, 200, 0, 0], [50, 0, 1000, 50, 200, 50, 1000, 0, 1000, 0, 50, 1000, 0, 0, 200], [100, 1000, 1000, 200, 0, 200, 0, 1000, 0, 1000, 0, 200, 500, 1000, 100], [1000, 0, 500, 500, 50, 50, 1000, 0, 1000, 0, 200, 100, 500, 50, 0], [0, 200, 1000, 500, 0, 50, 50, 50, 0, 200, 0, 500, 0, 500, 1000], [500, 0, 1000, 0, 100, 0, 50, 1000, 200, 100, 500, 0, 1000, 0, 500], [500, 0, 0, 0, 200, 0, 200, 0, 500, 500, 0, 1000, 0, 1000, 100], [0, 0, 0, 0, 1000, 100, 0, 0, 1000, 50, 500, 0, 1000, 0, 500], [200, 50, 200, 50, 0, 200, 0, 200, 100, 0, 1000, 500, 100, 500, 0]]",0.557,0.1,0.02,229
79,14,"[[541,1623],[50,250],[209,1463],[172,860],[224,1568],[221,1105],[59,295],[74,370],[57,171],[346,1038],[240,1920],[76,380],[53,212],[527,1581]]",6,"[[10.8, 211], [13.0, 229], [15.6, 226], [18.7, 207], [22.5, 250], [27.0, 524]]","[51, 42, 31, 62, 63]","[[0, 1000, 100, 200, 0, 0, 200, 200, 100, 100, 50, 1000, 0, 500], [1000, 0, 500, 50, 50, 50, 0, 50, 100, 0, 50, 500, 100, 100], [100, 500, 0, 500, 0, 0, 500, 50, 50, 0, 500, 500, 0, 500], [200, 50, 500, 0, 500, 0, 0, 1000, 0, 200, 100, 50, 0, 0], [0, 50, 0, 500, 0, 1000, 50, 0, 0, 0, 100, 1000, 0, 50], [0, 50, 0, 0, 1000, 0, 200, 0, 0, 100, 100, 0, 1000, 500], [200, 0, 500, 0, 50, 200, 0, 500, 0, 100, 0, 200, 500, 500], [200, 50, 50, 1000, 0, 0, 500, 0, 500, 0, 500, 0, 100, 0], [100, 100, 50, 0, 0, 0, 0, 500, 0, 200, 0, 0, 0, 100], [100, 0, 0, 200, 0, 100, 100, 0, 200, 0, 500, 100, 0, 0], [50, 50, 500, 100, 100, 100, 0, 500, 0, 500, 0, 1000, 200, 0], [1000, 500, 500, 50, 1000, 0, 200, 0, 0, 100, 1000, 0, 200, 0], [0, 100, 0, 0, 0, 1000, 500, 100, 0, 0, 200, 200, 0, 500], [500, 100, 500, 0, 50, 500, 500, 0, 100, 0, 0, 0, 500, 0]]",0.386,0.15,0.03,378
80,10,"[[51,306],[76,380],[330,660],[293,586],[443,1329],[595,1785],[208,1248],[133,931],[212,1484],[70,280]]",7,"[[6.6, 85], [7.9, 132], [9.5, 157], [11.4, 208], [13.7, 160], [16.4, 201], [19.7, 348]]","[66, 77, 75, 71, 29, 98]","[[0, 1000, 500, 0, 100, 500, 100, 500, 1000, 200], [1000, 0, 500, 0, 50, 50, 200, 0, 0, 0], [500, 500, 0, 200, 50, 100, 50, 0, 100, 1000], [0, 0, 200, 0, 1000, 100, 0, 0, 200, 500], [100, 50, 50, 1000, 0, 200, 200, 0, 0, 0], [500, 50, 100, 100, 200, 0, 200, 200, 1000, 0], [100, 200, 50, 0, 200, 200, 0, 1000, 0, 0], [500, 0, 0, 0, 0, 200, 1000, 0, 1000, 50], [1000, 0, 100, 200, 0, 1000, 0, 1000, 0, 200], [200, 0, 1000, 500, 0, 0, 0, 50, 200, 0]]",0.371,0.1,0.07,305
81,8,"[[133,665],[73,438],[275,825],[69,414],[55,165],[152,1064],[139,695],[100,500]]",6,"[[5.3, 103], [6.3, 65], [7.6, 87], [9.1, 120], [10.9, 128], [13.1, 195]]","[27, 66, 99, 31, 79]","[[0, 200, 0, 1000, 0, 500, 200, 500], [200, 0, 1000, 0, 1000, 0, 200, 500], [0, 1000, 0, 1000, 1000, 50, 100, 200], [1000, 0, 1000, 0, 500, 1000, 50, 0], [0, 1000, 1000, 500, 0, 200, 1000, 0], [500, 0, 50, 1000, 200, 0, 500, 100], [200, 200, 100, 50, 1000, 500, 0, 1000], [500, 500, 200, 0, 0, 100, 1000, 0]]",0.565,0.1,0.05,237
82,6,"[[481,1443],[173,1211],[412,824],[94,470],[81,486],[267,534]]",5,"[[8.2, 156], [9.9, 115], [11.8, 157], [14.2, 268], [17.0, 289]]","[23, 42, 88, 28]","[[0, 200, 0, 200, 200, 1000], [200, 0, 200, 100, 50, 100], [0, 200, 0, 200, 0, 1000], [200, 100, 200, 0, 200, 1000], [200, 50, 0, 200, 0, 200], [1000, 100, 1000, 1000, 200, 0]]",0.526,0.11,0.05,391
83,8,"[[134,670],[367,734],[84,504],[132,924],[91,455],[157,1099],[87,348],[254,762]]",6,"[[11.6, 213], [13.9, 186], [16.7, 333], [20.0, 235], [24.0, 369], [28.8, 300]]","[25, 24, 53, 68, 52]","[[0, 200, 100, 0, 100, 100, 200, 200], [200, 0, 1000, 200, 0, 0, 500, 0], [100, 1000, 0, 200, 50, 1000, 0, 100], [0, 200, 200, 0, 1000, 0, 1000, 0], [100, 0, 50, 1000, 0, 500, 0, 100], [100, 0, 1000, 0, 500, 0, 500, 100], [200, 500, 0, 1000, 0, 500, 0, 200], [200, 0, 100, 0, 100, 100, 200, 0]]",0.566,0.14,0.03,317
84,9,"[[143,1144],[77,231],[414,1242],[358,716],[444,888],[286,572],[87,261],[96,576],[50,200]]",7,"[[8.0, 87], [9.6, 121], [11.5, 154], [13.8, 155], [16.6, 231], [19.9, 219], [23.9, 298]]","[75, 69, 93, 40, 76, 73]","[[0, 500, 0, 0, 0, 0, 0, 0, 500], [500, 0, 1000, 200, 0, 1000, 200, 50, 200], [0, 1000, 0, 200, 50, 200, 0, 100, 500], [0, 200, 200, 0, 1000, 50, 100, 500, 0], [0, 0, 50, 1000, 0, 500, 0, 0, 50], [0, 1000, 200, 50, 500, 0, 1000, 500, 200], [0, 200, 0, 100, 0, 1000, 0, 200, 50], [0, 50, 100, 500, 0, 500, 200, 0, 500], [500, 200, 500, 0, 50, 200, 50, 500, 0]]",0.249,0.1,0.03,290
